from,to,line,seconds
26,25,Blue Line: Vastral Gam → Thaltej Gam,115.8
27,23,Yellow Line: Motera Stadium → Mahatma Mandir,140.0
27,32,Yellow Line: Mahatma Mandir → Motera Stadium,127.2
28,16,Yellow Line: Motera Stadium → Mahatma Mandir,89.0
28,23,Yellow Line: Mahatma Mandir → Motera Stadium,87.1
29,31,Yellow Line: Mahatma Mandir → Motera Stadium,94.5
29,59,Yellow Line: Motera Stadium → Mahatma Mandir,146.3
30,47,Yellow Line: Mahatma Mandir → Motera Stadium,97.9
31,29,Yellow Line: Motera Stadium → Mahatma Mandir,94.5
31,42,Red Line: Motera Stadium → APMC,138.9
32,27,Yellow Line: Motera Stadium → Mahatma Mandir,127.2
32,51,Yellow Line: Mahatma Mandir → Motera Stadium,89.7
33,56,Blue Line: Vastral Gam → Thaltej Gam,123.9
33,57,Blue Line: Thaltej Gam → Vastral Gam,101.6
34,17,Red Line: Motera Stadium → APMC,122.3
34,48,Blue Line: Thaltej Gam → Vastral Gam,151.6
34,50,Blue Line: Vastral Gam → Thaltej Gam,64.3
34,54,Red Line: APMC → Motera Stadium,101.0
35,16,Violet Line,148.1
36,17,Red Line: APMC → Motera Stadium,122.8
36,49,Red Line: Motera Stadium → APMC,152.3
37,10,Blue Line: Vastral Gam → Thaltej Gam,82.9
37,56,Blue Line: Thaltej Gam → Vastral Gam,132.3
38,22,Red Line: Motera Stadium → APMC,60.2
38,49,Red Line: APMC → Motera Stadium,142.0
39,13,Yellow Line: Motera Stadium → Mahatma Mandir,90.7
39,41,Yellow Line: Mahatma Mandir → Motera Stadium,149.0
40,7,Red Line: APMC → Motera Stadium,223.4
40,55,Red Line: Motera Stadium → APMC,89.0
41,16,Yellow Line: Mahatma Mandir → Motera Stadium,139.9
41,39,Yellow Line: Motera Stadium → Mahatma Mandir,149.0
42,7,Red Line: Motera Stadium → APMC,123.9
42,31,Red Line: APMC → Motera Stadium,139.3
43,9,Yellow Line: Motera Stadium → Mahatma Mandir,116.5
43,45,Yellow Line: Mahatma Mandir → Motera Stadium,101.5
44,21,Yellow Line: Mahatma Mandir → Motera Stadium,152.5
44,45,Yellow Line: Motera Stadium → Mahatma Mandir,108.3
45,43,Yellow Line: Motera Stadium → Mahatma Mandir,100.9
45,44,Yellow Line: Mahatma Mandir → Motera Stadium,107.8
46,24,Yellow Line: Mahatma Mandir → Motera Stadium,115.2
46,47,Yellow Line: Motera Stadium → Mahatma Mandir,108.0
47,30,Yellow Line: Motera Stadium → Mahatma Mandir,97.5
47,46,Yellow Line: Mahatma Mandir → Motera Stadium,108.0
48,18,Blue Line: Thaltej Gam → Vastral Gam,136.2
48,34,Blue Line: Vastral Gam → Thaltej Gam,151.7
49,36,Red Line: APMC → Motera Stadium,152.2
49,38,Red Line: Motera Stadium → APMC,142.1
50,12,Blue Line: Vastral Gam → Thaltej Gam,92.6
50,34,Blue Line: Thaltej Gam → Vastral Gam,64.3
51,32,Yellow Line: Motera Stadium → Mahatma Mandir,89.7
51,59,Yellow Line: Mahatma Mandir → Motera Stadium,105.8
52,14,Blue Line: Thaltej Gam → Vastral Gam,93.6
52,53,Blue Line: Vastral Gam → Thaltej Gam,97.2
53,52,Blue Line: Thaltej Gam → Vastral Gam,96.8
54,34,Red Line: Motera Stadium → APMC,101.4
54,58,Red Line: APMC → Motera Stadium,126.5
55,40,Red Line: APMC → Motera Stadium,89.0
55,58,Red Line: Motera Stadium → APMC,136.5
56,33,Blue Line: Thaltej Gam → Vastral Gam,123.9
56,37,Blue Line: Vastral Gam → Thaltej Gam,132.2
57,33,Blue Line: Vastral Gam → Thaltej Gam,101.6
58,54,Red Line: Motera Stadium → APMC,126.4
58,55,Red Line: APMC → Motera Stadium,137.5
59,29,Yellow Line: Mahatma Mandir → Motera Stadium,146.1
59,51,Yellow Line: Motera Stadium → Mahatma Mandir,105.7
60,74,Purple Line (Whitefield (Kadugodi) → Challaghatta),121.4
60,74,Purple Line (Pattandur Agrahara → Mysuru Road),121.4
60,140,Purple Line (Challaghatta → Whitefield (Kadugodi)),114.9
60,140,Purple Line (Mysuru Road → Pattandur Agrahara),114.9
61,68,Yellow Line (Rashtreeya Vidyalaya Road → Delta Electronics Bommasandra),141.5
61,91,Yellow Line (Delta Electronics Bommasandra → Rashtreeya Vidyalaya Road),90.2
62,64,Purple Line (Challaghatta → Whitefield (Kadugodi)),195.7
62,64,Purple Line (Mysuru Road → Pattandur Agrahara),195.7
62,136,Purple Line (Whitefield (Kadugodi) → Challaghatta),101.9
62,136,Purple Line (Pattandur Agrahara → Mysuru Road),101.9
63,90,Green Line (Madavara -> Silk Institute),90.7
63,90,Green Line (Peenya Industry -> Silk Institute),90.7
63,125,Green Line (Silk Institute -> Madavara),109.8
63,125,Green Line (Silk Institute -> Peenya Industry),109.8
64,62,Purple Line (Whitefield (Kadugodi) → Challaghatta),195.7
64,62,Purple Line (Pattandur Agrahara → Mysuru Road),195.7
64,100,Purple Line (Challaghatta → Whitefield (Kadugodi)),114.9
64,100,Purple Line (Mysuru Road → Pattandur Agrahara),114.9
65,78,Yellow Line (Rashtreeya Vidyalaya Road → Delta Electronics Bommasandra),106.2
65,85,Yellow Line (Delta Electronics Bommasandra → Rashtreeya Vidyalaya Road),101.4
66,75,Yellow Line (Rashtreeya Vidyalaya Road → Delta Electronics Bommasandra),137.6
66,86,Yellow Line (Delta Electronics Bommasandra → Rashtreeya Vidyalaya Road),125.9
67,68,Yellow Line (Delta Electronics Bommasandra → Rashtreeya Vidyalaya Road),91.7
67,82,Yellow Line (Rashtreeya Vidyalaya Road → Delta Electronics Bommasandra),122.6
68,61,Yellow Line (Delta Electronics Bommasandra → Rashtreeya Vidyalaya Road),142.4
68,67,Yellow Line (Rashtreeya Vidyalaya Road → Delta Electronics Bommasandra),99.3
69,95,Purple Line (Challaghatta → Whitefield (Kadugodi)),214.7
70,99,Green Line (Madavara -> Silk Institute),70.6
70,99,Green Line (Peenya Industry -> Silk Institute),70.6
70,112,Green Line (Silk Institute -> Madavara),107.4
70,112,Green Line (Silk Institute -> Peenya Industry),107.4
71,104,Green Line (Silk Institute -> Madavara),182.2
71,109,Green Line (Madavara -> Silk Institute),79.1
72,77,Purple Line (Whitefield (Kadugodi) → Challaghatta),81.2
72,77,Purple Line (Pattandur Agrahara → Mysuru Road),81.2
72,108,Purple Line (Challaghatta → Whitefield (Kadugodi)),128.2
72,108,Purple Line (Mysuru Road → Pattandur Agrahara),128.2
73,89,Green Line (Madavara -> Silk Institute),93.7
73,114,Green Line (Silk Institute -> Madavara),151.8
74,60,Purple Line (Challaghatta → Whitefield (Kadugodi)),121.7
74,60,Purple Line (Mysuru Road → Pattandur Agrahara),121.7
74,111,Purple Line (Whitefield (Kadugodi) → Challaghatta),101.3
74,111,Purple Line (Pattandur Agrahara → Mysuru Road),101.3
75,66,Yellow Line (Delta Electronics Bommasandra → Rashtreeya Vidyalaya Road),137.2
76,97,Green Line (Silk Institute -> Madavara),123.7
76,97,Green Line (Silk Institute -> Peenya Industry),123.7
76,139,Green Line (Madavara -> Silk Institute),123.2
76,139,Green Line (Peenya Industry -> Silk Institute),123.2
77,72,Purple Line (Challaghatta → Whitefield (Kadugodi)),69.5
77,72,Purple Line (Mysuru Road → Pattandur Agrahara),69.5
77,131,Purple Line (Whitefield (Kadugodi) → Challaghatta),88.3
77,131,Purple Line (Pattandur Agrahara → Mysuru Road),88.3
78,65,Yellow Line (Delta Electronics Bommasandra → Rashtreeya Vidyalaya Road),108.3
78,88,Yellow Line (Rashtreeya Vidyalaya Road → Delta Electronics Bommasandra),148.3
79,83,Purple Line (Challaghatta → Whitefield (Kadugodi)),95.9
79,83,Purple Line (Mysuru Road → Pattandur Agrahara),95.9
79,130,Purple Line (Whitefield (Kadugodi) → Challaghatta),132.5
79,130,Purple Line (Pattandur Agrahara → Mysuru Road),132.5
80,120,Green Line (Silk Institute -> Madavara),97.3
80,120,Green Line (Silk Institute -> Peenya Industry),97.3
80,144,Green Line (Madavara -> Silk Institute),113.0
80,144,Green Line (Peenya Industry -> Silk Institute),113.0
81,87,Purple Line (Challaghatta → Whitefield (Kadugodi)),138.4
81,87,Purple Line (Mysuru Road → Pattandur Agrahara),138.4
81,138,Purple Line (Whitefield (Kadugodi) → Challaghatta),117.9
81,138,Purple Line (Pattandur Agrahara → Mysuru Road),117.9
82,67,Yellow Line (Delta Electronics Bommasandra → Rashtreeya Vidyalaya Road),123.8
82,101,Yellow Line (Rashtreeya Vidyalaya Road → Delta Electronics Bommasandra),160.6
83,79,Purple Line (Whitefield (Kadugodi) → Challaghatta),110.2
83,79,Purple Line (Pattandur Agrahara → Mysuru Road),110.2
83,127,Purple Line (Challaghatta → Whitefield (Kadugodi)),96.6
83,127,Purple Line (Mysuru Road → Pattandur Agrahara),96.6
84,94,Purple Line (Whitefield (Kadugodi) → Challaghatta),84.8
84,142,Purple Line (Challaghatta → Whitefield (Kadugodi)),108.8
85,65,Yellow Line (Rashtreeya Vidyalaya Road → Delta Electronics Bommasandra),101.3
85,129,Yellow Line (Delta Electronics Bommasandra → Rashtreeya Vidyalaya Road),146.1
86,66,Yellow Line (Rashtreeya Vidyalaya Road → Delta Electronics Bommasandra),126.3
86,88,Yellow Line (Delta Electronics Bommasandra → Rashtreeya Vidyalaya Road),111.7
87,81,Purple Line (Whitefield (Kadugodi) → Challaghatta),138.0
87,81,Purple Line (Pattandur Agrahara → Mysuru Road),138.0
87,136,Purple Line (Challaghatta → Whitefield (Kadugodi)),113.9
87,136,Purple Line (Mysuru Road → Pattandur Agrahara),113.9
88,78,Yellow Line (Delta Electronics Bommasandra → Rashtreeya Vidyalaya Road),146.2
88,86,Yellow Line (Rashtreeya Vidyalaya Road → Delta Electronics Bommasandra),112.2
89,73,Green Line (Silk Institute -> Madavara),93.5
89,121,Green Line (Madavara -> Silk Institute),75.1
90,63,Green Line (Silk Institute -> Madavara),90.8
90,63,Green Line (Silk Institute -> Peenya Industry),90.8
90,143,Green Line (Madavara -> Silk Institute),138.3
90,143,Green Line (Peenya Industry -> Silk Institute),138.3
91,61,Yellow Line (Rashtreeya Vidyalaya Road → Delta Electronics Bommasandra),93.3
91,122,Yellow Line (Delta Electronics Bommasandra → Rashtreeya Vidyalaya Road),136.4
92,125,Green Line (Madavara -> Silk Institute),100.1
92,125,Green Line (Peenya Industry -> Silk Institute),100.1
92,132,Green Line (Silk Institute -> Madavara),102.5
92,132,Green Line (Silk Institute -> Peenya Industry),102.5
93,118,Purple Line (Whitefield (Kadugodi) → Challaghatta),206.8
93,124,Purple Line (Challaghatta → Whitefield (Kadugodi)),84.0
94,84,Purple Line (Challaghatta → Whitefield (Kadugodi)),77.2
94,119,Purple Line (Whitefield (Kadugodi) → Challaghatta),108.4
95,69,Purple Line (Whitefield (Kadugodi) → Challaghatta),214.6
95,96,Purple Line (Challaghatta → Whitefield (Kadugodi)),151.1
96,95,Purple Line (Whitefield (Kadugodi) → Challaghatta),151.1
96,118,Purple Line (Challaghatta → Whitefield (Kadugodi)),163.8
97,76,Green Line (Madavara -> Silk Institute),124.0
97,76,Green Line (Peenya Industry -> Silk Institute),124.0
97,143,Green Line (Silk Institute -> Madavara),118.6
97,143,Green Line (Silk Institute -> Peenya Industry),118.6
98,105,Purple Line (Whitefield (Kadugodi) → Challaghatta),114.4
98,105,Purple Line (Pattandur Agrahara → Mysuru Road),114.4
98,113,Purple Line (Challaghatta → Whitefield (Kadugodi)),88.0
98,113,Purple Line (Mysuru Road → Pattandur Agrahara),88.0
99,70,Green Line (Silk Institute -> Madavara),70.6
99,70,Green Line (Silk Institute -> Peenya Industry),70.6
99,116,Green Line (Madavara -> Silk Institute),121.8
99,116,Green Line (Peenya Industry -> Silk Institute),121.8
100,64,Purple Line (Whitefield (Kadugodi) → Challaghatta),113.9
100,64,Purple Line (Pattandur Agrahara → Mysuru Road),113.9
100,130,Purple Line (Challaghatta → Whitefield (Kadugodi)),177.4
100,130,Purple Line (Mysuru Road → Pattandur Agrahara),177.4
101,82,Yellow Line (Delta Electronics Bommasandra → Rashtreeya Vidyalaya Road),161.1
101,129,Yellow Line (Rashtreeya Vidyalaya Road → Delta Electronics Bommasandra),124.7
102,115,Purple Line (Challaghatta → Whitefield (Kadugodi)),106.2
102,115,Purple Line (Mysuru Road → Pattandur Agrahara),106.2
102,127,Purple Line (Whitefield (Kadugodi) → Challaghatta),85.6
102,127,Purple Line (Pattandur Agrahara → Mysuru Road),85.6
103,116,Green Line (Silk Institute -> Madavara),86.0
103,116,Green Line (Silk Institute -> Peenya Industry),86.0
103,132,Green Line (Madavara -> Silk Institute),96.8
103,132,Green Line (Peenya Industry -> Silk Institute),96.8
104,71,Green Line (Madavara -> Silk Institute),182.2
105,98,Purple Line (Challaghatta → Whitefield (Kadugodi)),114.3
105,98,Purple Line (Mysuru Road → Pattandur Agrahara),114.3
105,133,Purple Line (Whitefield (Kadugodi) → Challaghatta),112.3
105,133,Purple Line (Pattandur Agrahara → Mysuru Road),112.3
106,123,Green Line (Silk Institute -> Madavara),86.2
106,123,Green Line (Silk Institute -> Peenya Industry),86.2
106,135,Green Line (Madavara -> Silk Institute),76.9
106,135,Green Line (Peenya Industry -> Silk Institute),76.9
107,123,Green Line (Madavara -> Silk Institute),88.8
107,123,Green Line (Peenya Industry -> Silk Institute),88.8
107,126,Green Line (Silk Institute -> Madavara),97.8
107,126,Green Line (Silk Institute -> Peenya Industry),97.8
108,72,Purple Line (Whitefield (Kadugodi) → Challaghatta),117.2
108,72,Purple Line (Pattandur Agrahara → Mysuru Road),117.2
108,138,Purple Line (Challaghatta → Whitefield (Kadugodi)),114.8
108,138,Purple Line (Mysuru Road → Pattandur Agrahara),114.8
109,71,Green Line (Silk Institute -> Madavara),79.1
109,114,Green Line (Madavara -> Silk Institute),69.6
110,112,Green Line (Madavara -> Silk Institute),182.2
110,112,Green Line (Peenya Industry -> Silk Institute),182.2
110,135,Green Line (Silk Institute -> Madavara),110.2
110,135,Green Line (Silk Institute -> Peenya Industry),110.2
111,74,Purple Line (Challaghatta → Whitefield (Kadugodi)),100.7
111,74,Purple Line (Mysuru Road → Pattandur Agrahara),100.7
111,117,Purple Line (Whitefield (Kadugodi) → Challaghatta),81.4
112,70,Green Line (Madavara -> Silk Institute),96.9
112,70,Green Line (Peenya Industry -> Silk Institute),96.9
112,110,Green Line (Silk Institute -> Madavara),171.2
112,110,Green Line (Silk Institute -> Peenya Industry),171.2
113,98,Purple Line (Whitefield (Kadugodi) → Challaghatta),84.7
113,98,Purple Line (Pattandur Agrahara → Mysuru Road),84.7
113,131,Purple Line (Challaghatta → Whitefield (Kadugodi)),127.6
113,131,Purple Line (Mysuru Road → Pattandur Agrahara),127.6
114,73,Green Line (Madavara -> Silk Institute),151.8
114,109,Green Line (Silk Institute -> Madavara),69.5
115,102,Purple Line (Whitefield (Kadugodi) → Challaghatta),106.6
115,102,Purple Line (Pattandur Agrahara → Mysuru Road),106.6
115,134,Purple Line (Challaghatta → Whitefield (Kadugodi)),65.7
115,134,Purple Line (Mysuru Road → Pattandur Agrahara),65.7
116,99,Green Line (Silk Institute -> Madavara),121.9
116,99,Green Line (Silk Institute -> Peenya Industry),121.9
116,103,Green Line (Madavara -> Silk Institute),86.0
116,103,Green Line (Peenya Industry -> Silk Institute),86.0
117,111,Purple Line (Challaghatta → Whitefield (Kadugodi)),81.6
117,124,Purple Line (Whitefield (Kadugodi) → Challaghatta),85.7
118,93,Purple Line (Challaghatta → Whitefield (Kadugodi)),207.1
118,96,Purple Line (Whitefield (Kadugodi) → Challaghatta),164.1
119,94,Purple Line (Challaghatta → Whitefield (Kadugodi)),107.7
119,134,Purple Line (Whitefield (Kadugodi) → Challaghatta),137.1
119,134,Purple Line (Pattandur Agrahara → Mysuru Road),137.1
120,80,Green Line (Madavara -> Silk Institute),106.9
120,80,Green Line (Peenya Industry -> Silk Institute),106.9
120,121,Green Line (Silk Institute -> Madavara),95.8
120,121,Green Line (Silk Institute -> Peenya Industry),95.8
121,89,Green Line (Silk Institute -> Madavara),75.1
121,120,Green Line (Madavara -> Silk Institute),95.8
121,120,Green Line (Peenya Industry -> Silk Institute),95.8
122,91,Yellow Line (Rashtreeya Vidyalaya Road → Delta Electronics Bommasandra),134.0
123,106,Green Line (Madavara -> Silk Institute),85.2
123,106,Green Line (Peenya Industry -> Silk Institute),85.2
123,107,Green Line (Silk Institute -> Madavara),88.9
123,107,Green Line (Silk Institute -> Peenya Industry),88.9
124,93,Purple Line (Whitefield (Kadugodi) → Challaghatta),83.9
124,117,Purple Line (Challaghatta → Whitefield (Kadugodi)),85.4
125,63,Green Line (Madavara -> Silk Institute),101.5
125,63,Green Line (Peenya Industry -> Silk Institute),101.5
125,92,Green Line (Silk Institute -> Madavara),87.9
125,92,Green Line (Silk Institute -> Peenya Industry),87.9
125,122,Yellow Line (Rashtreeya Vidyalaya Road → Delta Electronics Bommasandra),108.1
126,107,Green Line (Madavara -> Silk Institute),97.8
126,107,Green Line (Peenya Industry -> Silk Institute),97.8
126,144,Green Line (Silk Institute -> Madavara),111.7
126,144,Green Line (Silk Institute -> Peenya Industry),111.7
127,83,Purple Line (Whitefield (Kadugodi) → Challaghatta),98.1
127,83,Purple Line (Pattandur Agrahara → Mysuru Road),98.1
127,102,Purple Line (Challaghatta → Whitefield (Kadugodi)),89.2
127,102,Purple Line (Mysuru Road → Pattandur Agrahara),89.2
128,137,Green Line (Silk Institute -> Madavara),149.3
128,137,Green Line (Silk Institute -> Peenya Industry),149.3
129,85,Yellow Line (Rashtreeya Vidyalaya Road → Delta Electronics Bommasandra),146.2
129,101,Yellow Line (Delta Electronics Bommasandra → Rashtreeya Vidyalaya Road),125.0
130,79,Purple Line (Challaghatta → Whitefield (Kadugodi)),131.4
130,79,Purple Line (Mysuru Road → Pattandur Agrahara),131.4
130,100,Purple Line (Whitefield (Kadugodi) → Challaghatta),167.3
130,100,Purple Line (Pattandur Agrahara → Mysuru Road),167.3
131,77,Purple Line (Challaghatta → Whitefield (Kadugodi)),101.4
131,77,Purple Line (Mysuru Road → Pattandur Agrahara),101.4
131,113,Purple Line (Whitefield (Kadugodi) → Challaghatta),131.1
131,113,Purple Line (Pattandur Agrahara → Mysuru Road),131.1
132,92,Green Line (Madavara -> Silk Institute),102.5
132,92,Green Line (Peenya Industry -> Silk Institute),102.5
132,103,Green Line (Silk Institute -> Madavara),96.8
132,103,Green Line (Silk Institute -> Peenya Industry),96.8
133,105,Purple Line (Challaghatta → Whitefield (Kadugodi)),112.3
133,105,Purple Line (Mysuru Road → Pattandur Agrahara),112.3
133,141,Purple Line (Whitefield (Kadugodi) → Challaghatta),100.8
133,141,Purple Line (Pattandur Agrahara → Mysuru Road),100.8
134,115,Purple Line (Whitefield (Kadugodi) → Challaghatta),60.1
134,115,Purple Line (Pattandur Agrahara → Mysuru Road),60.1
134,119,Purple Line (Challaghatta → Whitefield (Kadugodi)),140.3
134,119,Purple Line (Mysuru Road → Pattandur Agrahara),140.3
135,106,Green Line (Silk Institute -> Madavara),76.8
135,106,Green Line (Silk Institute -> Peenya Industry),76.8
135,110,Green Line (Madavara -> Silk Institute),110.7
135,110,Green Line (Peenya Industry -> Silk Institute),110.7
136,62,Purple Line (Challaghatta → Whitefield (Kadugodi)),101.9
136,62,Purple Line (Mysuru Road → Pattandur Agrahara),101.9
136,87,Purple Line (Whitefield (Kadugodi) → Challaghatta),114.0
136,87,Purple Line (Pattandur Agrahara → Mysuru Road),114.0
137,128,Green Line (Madavara -> Silk Institute),149.3
137,128,Green Line (Peenya Industry -> Silk Institute),149.3
137,139,Green Line (Silk Institute -> Madavara),102.1
137,139,Green Line (Silk Institute -> Peenya Industry),102.1
138,81,Purple Line (Challaghatta → Whitefield (Kadugodi)),117.3
138,81,Purple Line (Mysuru Road → Pattandur Agrahara),117.3
138,108,Purple Line (Whitefield (Kadugodi) → Challaghatta),126.0
138,108,Purple Line (Pattandur Agrahara → Mysuru Road),126.0
139,76,Green Line (Silk Institute -> Madavara),123.9
139,76,Green Line (Silk Institute -> Peenya Industry),123.9
139,137,Green Line (Madavara -> Silk Institute),102.3
139,137,Green Line (Peenya Industry -> Silk Institute),102.3
140,133,Purple Line (Challaghatta → Whitefield (Kadugodi)),101.4
140,133,Purple Line (Mysuru Road → Pattandur Agrahara),101.4
141,60,Purple Line (Whitefield (Kadugodi) → Challaghatta),114.9
141,60,Purple Line (Pattandur Agrahara → Mysuru Road),114.9
142,84,Purple Line (Whitefield (Kadugodi) → Challaghatta),103.8
143,90,Green Line (Silk Institute -> Madavara),137.9
143,90,Green Line (Silk Institute -> Peenya Industry),137.9
143,97,Green Line (Madavara -> Silk Institute),118.7
143,97,Green Line (Peenya Industry -> Silk Institute),118.7
144,80,Green Line (Silk Institute -> Madavara),122.6
144,80,Green Line (Silk Institute -> Peenya Industry),122.6
144,126,Green Line (Madavara -> Silk Institute),112.4
144,126,Green Line (Peenya Industry -> Silk Institute),112.4
145,146,Orange Line: AIIMS → Subhash Nagar,94.8
146,145,Orange Line: Subhash Nagar ↔ AIIMS,94.4
146,148,Orange Line: AIIMS → Subhash Nagar,83.6
147,149,Orange Line: AIIMS → Subhash Nagar,90.9
147,150,Orange Line: Subhash Nagar ↔ AIIMS,67.9
148,146,Orange Line: Subhash Nagar ↔ AIIMS,83.6
148,151,Orange Line: AIIMS → Subhash Nagar,79.6
149,147,Orange Line: Subhash Nagar ↔ AIIMS,91.3
149,152,Orange Line: AIIMS → Subhash Nagar,90.3
150,147,Orange Line: AIIMS → Subhash Nagar,68.1
150,151,Orange Line: Subhash Nagar ↔ AIIMS,82.0
151,148,Orange Line: Subhash Nagar ↔ AIIMS,80.3
151,150,Orange Line: AIIMS → Subhash Nagar,82.0
152,149,Orange Line: Subhash Nagar ↔ AIIMS,89.8
153,185,Red Line: Madhavaram → Shozhinganallur (u/c),357.7
153,185,Red Line: Shozhinganallur → Madhavaram (u/c),357.7
153,186,Yellow Line: Light House → Poonamallee Bypass,391.3
153,186,Yellow Line: Poonamallee Bypass → Light House,391.3
154,161,Yellow Line: Light House → Poonamallee Bypass,224.6
154,161,Red Line: Madhavaram → Shozhinganallur (u/c),224.6
154,161,Yellow Line: Poonamallee Bypass → Light House,224.6
154,161,Red Line: Shozhinganallur → Madhavaram (u/c),224.6
155,156,Green Line: Chennai Central → St. Thomas Mount,110.8
155,156,Inter-Corridor Line: Chennai Central → Chennai International Aiirport,110.8
155,179,Green Line (St. Thomas Mount → Chennai Central),98.0
155,179,Inter-Corridor Line (Chennai International Airport → Chennai Central),98.0
156,155,Green Line (St. Thomas Mount → Chennai Central),130.9
156,155,Inter-Corridor Line (Chennai International Airport → Chennai Central),130.9
156,182,Green Line: Chennai Central → St. Thomas Mount,83.3
156,182,Inter-Corridor Line: Chennai Central → Chennai International Aiirport,83.3
157,158,Green Line: Chennai Central → St. Thomas Mount,125.0
157,158,Inter-Corridor Line: Chennai Central → Chennai International Aiirport,125.0
157,159,Blue Line (Chennai International Airport → Wimco Nagar Depot),141.2
157,189,Blue Line (Wimco Nagar Depot → Chennai International Airport),141.6
158,157,Green Line (St. Thomas Mount → Chennai Central),125.0
158,157,Inter-Corridor Line (Chennai International Airport → Chennai Central),125.0
158,171,Green Line: Chennai Central → St. Thomas Mount,144.5
158,171,Inter-Corridor Line: Chennai Central → Chennai International Aiirport,144.5
159,157,Blue Line (Wimco Nagar Depot → Chennai International Airport),141.8
159,168,Blue Line (Chennai International Airport → Wimco Nagar Depot),96.3
160,183,Yellow Line: Light House → Poonamallee Bypass,883.6
160,183,Yellow Line: Poonamallee Bypass → Light House,883.6
161,184,Yellow Line: Light House → Poonamallee Bypass,119.8
161,184,Red Line: Madhavaram → Shozhinganallur (u/c),119.8
161,184,Yellow Line: Poonamallee Bypass → Light House,119.8
161,184,Red Line: Shozhinganallur → Madhavaram (u/c),119.8
162,166,Yellow Line: Light House → Poonamallee Bypass,94.3
162,166,Yellow Line: Poonamallee Bypass → Light House,94.3
163,160,Yellow Line: Light House → Poonamallee Bypass,118.2
163,160,Yellow Line: Poonamallee Bypass → Light House,118.2
164,171,Green Line (St. Thomas Mount → Chennai Central),90.5
164,171,Inter-Corridor Line (Chennai International Airport → Chennai Central),90.5
164,172,Green Line: Chennai Central → St. Thomas Mount,113.9
164,172,Inter-Corridor Line: Chennai Central → Chennai International Aiirport,113.9
166,163,Yellow Line: Light House → Poonamallee Bypass,80.3
166,163,Yellow Line: Poonamallee Bypass → Light House,80.3
167,154,Red Line: Madhavaram → Shozhinganallur (u/c),1402.3
167,154,Red Line: Shozhinganallur → Madhavaram (u/c),1402.3
168,159,Blue Line (Wimco Nagar Depot → Chennai International Airport),96.3
168,213,Blue Line (Chennai International Airport → Wimco Nagar Depot),158.7
169,192,Blue Line (Chennai International Airport → Wimco Nagar Depot),100.1
