id,name,system,city,lat,lon
81,Baswa,Indian Railways,Indian Railways,27.150337,76.575566
82,Bathna Halt,Indian Railways,Indian Railways,26.341768,85.121241
83,Bedham,Indian Railways,Indian Railways,27.453938,77.208888
84,Begdewadi,Indian Railways,Indian Railways,18.700671,73.708779
85,Begumpet,Indian Railways,Indian Railways,17.438613,78.458064
86,Belagavi,Indian Railways,Indian Railways,15.848806,74.509184
87,Belandur Road,Indian Railways,Indian Railways,12.938434,77.707191
88,Beldanga,Indian Railways,Indian Railways,23.933331,88.243074
89,Belthara Road,Indian Railways,Indian Railways,26.120753,83.841334
90,Berhampore Court,Indian Railways,Indian Railways,24.089417,88.263979
91,Bethuadahari,Indian Railways,Indian Railways,23.611265,88.384530
92,Betta Halasuru,Indian Railways,Indian Railways,13.166163,77.604294
93,Bhabta,Indian Railways,Indian Railways,23.986949,88.241624
94,Bhadohi,Indian Railways,Indian Railways,25.394971,82.558716
95,Bhadrak Junction,Indian Railways,Indian Railways,21.091131,86.516138
96,Bhagalpur Junction,Indian Railways,Indian Railways,25.241287,86.972681
97,Bhagwangola,Indian Railways,Indian Railways,24.335028,88.307511
98,Bhan Kari,Indian Railways,Indian Railways,26.962172,76.409237
99,Bhandup,Indian Railways,Indian Railways,19.142967,72.937910
100,Bharath Nagar,Indian Railways,Indian Railways,17.462118,78.428662
101,Bharatpur Junction,Indian Railways,Indian Railways,27.236955,77.488412
102,Bharuch Junction,Indian Railways,Indian Railways,21.703413,72.999652
103,Bhatni Junction,Indian Railways,Indian Railways,26.381429,83.933397
104,Bhayandar,Indian Railways,Indian Railways,19.311086,72.852686
105,Bhivandi Road,Indian Railways,Indian Railways,19.268579,73.046230
106,Bhivpuri Road,Indian Railways,Indian Railways,18.970550,73.331434
107,Bhojo,Indian Railways,Indian Railways,27.063512,95.032324
108,Bhopal Junction,Indian Railways,Indian Railways,23.268251,77.413806
109,Bhubaneshwar,Indian Railways,Indian Railways,20.265600,85.843278
110,Bhudevi Nagar,Indian Railways,Indian Railways,17.492966,78.502168
111,Bhusaval Junction,Indian Railways,Indian Railways,21.047419,75.787422
112,Bhuteshwar,Indian Railways,Indian Railways,27.501710,77.667538
113,Bilaspur Junction,Indian Railways,Indian Railways,22.056614,82.170098
114,Bina Junction,Indian Railways,Indian Railways,24.171999,78.185272
115,Bokaro Steel City,Indian Railways,Indian Railways,23.657851,86.084298
116,Bolarum,Indian Railways,Indian Railways,17.533323,78.515387
117,Bolarum Bazaar,Indian Railways,Indian Railways,17.517693,78.515755
118,Borabanda,Indian Railways,Indian Railways,17.459221,78.407848
119,Borivali,Indian Railways,Indian Railways,19.228248,72.856662
120,Brij Kishor Halt,Indian Railways,Indian Railways,26.313740,84.694610
121,Brij Nagar,Indian Railways,Indian Railways,27.439411,77.089895
122,Budvel,Indian Railways,Indian Railways,17.309643,78.425057
123,Burhanpur,Indian Railways,Indian Railways,21.336119,76.200928
124,Byculla,Indian Railways,Indian Railways,18.976552,72.832786
125,CBD Belapur,Indian Railways,Indian Railways,19.018982,73.039136
126,CSMT,Indian Railways,Indian Railways,18.945181,72.837865
127,Carmelaram,Indian Railways,Indian Railways,12.907380,77.705944
128,Cavalry Barracks,Indian Railways,Indian Railways,17.495194,78.518952
129,Chakdaha,Indian Railways,Indian Railways,23.078719,88.529800
130,Chakradharpur,Indian Railways,Indian Railways,22.678182,85.627076
131,Chalisgaon Junction,Indian Railways,Indian Railways,20.464049,74.999354
132,Chandanagar,Indian Railways,Indian Railways,17.487502,78.333399
133,Chandigarh Railway Station,Indian Railways,Indian Railways,30.702162,76.821453
134,Channarayapatna,Indian Railways,Indian Railways,12.892458,76.393886
135,Channasandra,Indian Railways,Indian Railways,13.011841,77.663291
136,Charlapalli,Indian Railways,Indian Railways,17.458187,78.606240
137,Charni Road,Indian Railways,Indian Railways,18.952262,72.817691
138,Chaukhandi,Indian Railways,Indian Railways,25.339614,82.835115
139,Chauri Chaura,Indian Railways,Indian Railways,26.645012,83.587310
140,Chembur,Indian Railways,Indian Railways,19.062539,72.901342
141,Chengalpattu Junction,Indian Railways,Indian Railways,12.693409,79.981048
142,Chennai Beach,Indian Railways,Indian Railways,13.092781,80.292389
143,Chennai Central,Indian Railways,Indian Railways,13.084535,80.273717
144,Chennai Chetpet,Indian Railways,Indian Railways,13.074116,80.242221
145,Chennai Egmore,Indian Railways,Indian Railways,13.078658,80.261417
146,Chennai Fort,Indian Railways,Indian Railways,13.083452,80.282718
147,Chennai Park,Indian Railways,Indian Railways,13.080619,80.273142
148,Chepauk,Indian Railways,Indian Railways,13.062050,80.280604
149,Cherthala,Indian Railways,Indian Railways,9.691011,76.325669
150,Cheruvattur,Indian Railways,Indian Railways,12.214579,75.154576
151,Chhanera,Indian Railways,Indian Railways,21.963641,76.707278
152,Chhapra Junction,Indian Railways,Indian Railways,25.787294,84.725010
153,Chhapra Kacheri,Indian Railways,Indian Railways,25.785986,84.746129
154,Chikballapur,Indian Railways,Indian Railways,13.427422,77.732307
155,Chikhli Road,Indian Railways,Indian Railways,20.806318,73.074862
156,Chinchpokli,Indian Railways,Indian Railways,18.987270,72.832792
157,Chinchwad,Indian Railways,Indian Railways,18.639521,73.791882
158,Chintadaripet,Indian Railways,Indian Railways,13.073746,80.273872
159,Chintamani,Indian Railways,Indian Railways,13.411148,78.054020
160,Chittapura,Indian Railways,Indian Railways,17.119574,77.090553
161,Chopan,Indian Railways,Indian Railways,24.513559,83.026389
162,Chromepet,Indian Railways,Indian Railways,12.950879,80.140413
163,Chuna Bhatti,Indian Railways,Indian Railways,19.051832,72.869006
164,Churchgate,Indian Railways,Indian Railways,18.934420,72.827379
165,Coimbatore Junction,Indian Railways,Indian Railways,10.997574,76.966620
166,Cotton Green,Indian Railways,Indian Railways,18.986504,72.843238
167,Currey Road,Indian Railways,Indian Railways,18.993632,72.832851
168,Cuttack Junction,Indian Railways,Indian Railways,20.465365,85.900978
169,Dabhaura,Indian Railways,Indian Railways,25.117932,81.302572
170,Dabirpura,Indian Railways,Indian Railways,17.366132,78.490492
171,Dadar,Indian Railways,Indian Railways,19.018965,72.842867
172,Dadar (Central),Indian Railways,Indian Railways,19.017306,72.843001
173,Dadar (Western),Indian Railways,Indian Railways,19.018902,72.842952
174,Dadar Terminus,Indian Railways,Indian Railways,19.018626,72.844465
175,Dahisar,Indian Railways,Indian Railways,19.249326,72.859417
176,Dahod,Indian Railways,Indian Railways,22.844207,74.253083
177,Dalasanur,Indian Railways,Indian Railways,13.268875,78.170055
178,Daltonganj,Indian Railways,Indian Railways,24.034004,84.074329
179,Dapodi,Indian Railways,Indian Railways,18.581448,73.832687
180,Darjeeling,Indian Railways,Indian Railways,27.038115,88.263061
181,Dativali,Indian Railways,Indian Railways,19.187106,73.059181
182,Dattapukur,Indian Railways,Indian Railways,22.769006,88.540700
183,Dausa,Indian Railways,Indian Railways,26.900409,76.330554
184,Davanagere,Indian Railways,Indian Railways,14.468265,75.919614
185,Dayanand Nagar,Indian Railways,Indian Railways,17.456048,78.531564
186,Debagram,Indian Railways,Indian Railways,23.688553,88.307722
187,Deeg,Indian Railways,Indian Railways,27.486979,77.324403
188,Deen Dayal Upadhyaya Junction,Indian Railways,Indian Railways,25.278942,83.119960
189,Dehri on Sone,Indian Railways,Indian Railways,24.915196,84.184943
190,Dehu Road,Indian Railways,Indian Railways,18.680325,73.734395
191,Delhi Cantonment,Indian Railways,Indian Railways,28.612381,77.115779
192,Delhi Junction,Indian Railways,Indian Railways,28.661817,77.227906
193,Delhi Shahdara Junction,Indian Railways,Indian Railways,28.672966,77.292456
194,Deoband,Indian Railways,Indian Railways,29.679542,77.670706
195,Deoria Sadar,Indian Railways,Indian Railways,26.508196,83.782186
196,Devanahalli,Indian Railways,Indian Railways,13.247551,77.705243
197,Dhaka,Indian Railways,Indian Railways,26.676008,85.177646
198,Dhanbad Junction,Indian Railways,Indian Railways,23.791236,86.429655
199,Dharmanagar,Indian Railways,Indian Railways,24.369922,92.170024
200,Dharmapuri,Indian Railways,Indian Railways,12.126385,78.154144
201,Dharmavaram Junction,Indian Railways,Indian Railways,14.426279,77.715730
202,Dharwad,Indian Railways,Indian Railways,15.442129,75.001984
203,Dhenkanal,Indian Railways,Indian Railways,20.677131,85.590178
204,Dholpur Junction,Indian Railways,Indian Railways,26.697393,77.905814
205,Dibrugarh,Indian Railways,Indian Railways,27.464878,94.937118
206,Digha Gaon,Indian Railways,Indian Railways,19.180723,72.994408
207,Dighwa Dubauli,Indian Railways,Indian Railways,26.266286,84.743087
208,Dighwara,Indian Railways,Indian Railways,25.744175,85.003878
209,Dindigul Junction,Indian Railways,Indian Railways,10.352901,77.984684
210,Diva Junction,Indian Railways,Indian Railways,19.188711,73.042502
211,Dockyard Road,Indian Railways,Indian Railways,18.966439,72.844267
212,Doddajala,Indian Railways,Indian Railways,13.180606,77.640928
213,Dodnatta,Indian Railways,Indian Railways,13.374427,78.136490
214,Dolavli,Indian Railways,Indian Railways,18.834345,73.320036
215,Dombivli,Indian Railways,Indian Railways,19.217925,73.086506
216,Dronagiri,Indian Railways,Indian Railways,18.881322,72.964639
217,Duliajan,Indian Railways,Indian Railways,27.367209,95.306584
218,Dullahapur,Indian Railways,Indian Railways,25.800019,83.423286
219,Dumri Juara,Indian Railways,Indian Railways,25.749288,84.871380
220,Durg,Indian Railways,Indian Railways,21.200263,81.291654
221,Durgapur,Indian Railways,Indian Railways,23.494779,87.318528
222,Ekma,Indian Railways,Indian Railways,25.966479,84.536722
223,Ernakulam Junction,Indian Railways,Indian Railways,9.970221,76.291130
224,Erode,Indian Railways,Indian Railways,11.327963,77.726053
225,Etawah Junction,Indian Railways,Indian Railways,26.787221,79.020943
226,Falaknuma,Indian Railways,Indian Railways,17.332643,78.474932
227,Falna,Indian Railways,Indian Railways,25.236043,73.234876
228,Fateh Nagar,Indian Railways,Indian Railways,17.456851,78.449981
229,Ferozguda,Indian Railways,Indian Railways,17.464892,78.460306
230,Firozabad,Indian Railways,Indian Railways,27.147483,78.386885
231,Furkating Junction,Indian Railways,Indian Railways,26.464719,94.001834
232,Gadarwara,Indian Railways,Indian Railways,22.900183,78.792808
233,Ganagapur Road,Indian Railways,Indian Railways,17.340641,76.589614
234,Gandhi Nagar Jaipur,Indian Railways,Indian Railways,26.873032,75.799150
235,Garhwa Road,Indian Railways,Indian Railways,24.214733,83.885227
236,Gaya Junction,Indian Railways,Indian Railways,24.803399,84.999250
237,Getor Jagatpura,Indian Railways,Indian Railways,26.836999,75.831576
238,Ghansoli,Indian Railways,Indian Railways,19.116388,73.006989
239,Ghatkesar,Indian Railways,Indian Railways,17.453257,78.678525
240,Ghatkopar,Indian Railways,Indian Railways,19.085630,72.908024
241,Ghaziabad,Indian Railways,Indian Railways,28.653377,77.427842
242,Ghaziabad Junction,Indian Railways,Indian Railways,28.652856,77.428244
243,Ghazipur City,Indian Railways,Indian Railways,25.583780,83.568021
244,Ghoom,Indian Railways,Indian Railways,27.008363,88.253574
245,Ghorawadi,Indian Railways,Indian Railways,18.720219,73.696969
246,Gidnahalli,Indian Railways,Indian Railways,13.414153,77.808913
247,Goldinganj,Indian Railways,Indian Railways,25.754002,84.826926
248,Gonda Junction,Indian Railways,Indian Railways,27.154796,81.976806
249,Gondia Junction,Indian Railways,Indian Railways,21.461767,80.191991
250,Gopalganj,Indian Railways,Indian Railways,26.453762,84.435263
251,Gorakhpur Junction,Indian Railways,Indian Railways,26.760348,83.381981
252,Goregaon,Indian Railways,Indian Railways,19.164859,72.849347
253,Gottihalli,Indian Railways,Indian Railways,13.234694,78.142732
254,Govandi,Indian Railways,Indian Railways,19.054910,72.915780
255,Govardhan,Indian Railways,Indian Railways,27.520666,77.461662
256,Govindgarh,Indian Railways,Indian Railways,27.499118,76.988208
257,Gowdavalli,Indian Railways,Indian Railways,17.610700,78.468193
258,Grant Road,Indian Railways,Indian Railways,18.963014,72.815931
259,Greenways Road,Indian Railways,Indian Railways,13.020684,80.252031
260,Gudur Junction,Indian Railways,Indian Railways,14.147920,79.845292
261,Guduvancheri,Indian Railways,Indian Railways,12.845230,80.057650
262,Guindy,Indian Railways,Indian Railways,13.008423,80.212615
263,Gulana,Indian Railways,Indian Railways,27.102143,76.564974
264,Gundla Pochampally,Indian Railways,Indian Railways,17.568661,78.488048
265,Gunrajpur Dhama Halt,Indian Railways,Indian Railways,26.069444,84.821019
266,Guntakal Junction,Indian Railways,Indian Railways,15.174701,77.367188
267,Gurgaon,Indian Railways,Indian Railways,28.489183,77.010940
268,Guru Tegh Bahadur Nagar,Indian Railways,Indian Railways,19.038001,72.864352
269,Guwahati,Indian Railways,Indian Railways,26.182285,91.750183
270,Gwalior Junction,Indian Railways,Indian Railways,26.215593,78.181707
271,Hafeezpet,Indian Railways,Indian Railways,17.482583,78.363035
272,Haldibari,Indian Railways,Indian Railways,26.335282,88.782474
273,Hamarapur,Indian Railways,Indian Railways,18.783899,73.079395
274,Hapur Junction,Indian Railways,Indian Railways,28.739539,77.778971
275,Harda,Indian Railways,Indian Railways,22.338946,77.101793
276,Hardoi,Indian Railways,Indian Railways,27.400085,80.147500
277,Haripad,Indian Railways,Indian Railways,9.277726,76.463377
278,Hassan Junction,Indian Railways,Indian Railways,13.003231,76.117385
279,Haveri,Indian Railways,Indian Railways,14.794821,75.411316
280,Hazaribagh Road,Indian Railways,Indian Railways,24.174371,85.891941
281,Hazrat Nizamuddin Junction,Indian Railways,Indian Railways,28.588987,77.254088
282,Hebbal,Indian Railways,Indian Railways,13.042432,77.586186
283,Heelalige,Indian Railways,Indian Railways,12.813188,77.711211
284,Hijli,Indian Railways,Indian Railways,22.319940,87.319451
285,Hindu College,Indian Railways,Indian Railways,13.118550,80.074446
286,Hitech City,Indian Railways,Indian Railways,17.469708,78.385197
287,Hojai,Indian Railways,Indian Railways,26.001873,92.852035
288,Hosur,Indian Railways,Indian Railways,12.717679,77.823039
289,Howrah Junction,Indian Railways,Indian Railways,22.582251,88.341837
290,Hubballi,Indian Railways,Indian Railways,15.350576,75.149553
291,Hunasenahalli,Indian Railways,Indian Railways,13.400093,77.946648
292,Huppuguda,Indian Railways,Indian Railways,17.341371,78.482606
293,Hyderabad Deccan Nampally,Indian Railways,Indian Railways,17.393246,78.467508
294,Igatpuri,Indian Railways,Indian Railways,19.694485,73.562881
295,Indara Junction,Indian Railways,Indian Railways,25.987420,83.619951
296,Indira Nagar,Indian Railways,Indian Railways,12.996608,80.249542
297,Itarsi Junction,Indian Railways,Indian Railways,22.607734,77.766649
298,Jabalpur,Indian Railways,Indian Railways,23.165309,79.951043
299,Jadoli Ka Bas,Indian Railways,Indian Railways,27.539535,76.880382
300,Jagadhri Workshop,Indian Railways,Indian Railways,30.135764,77.241632
301,Jaipur Junction,Indian Railways,Indian Railways,26.920379,75.786514
302,Jaitwar,Indian Railways,Indian Railways,24.740739,80.863521
303,Jajpur Keonjhar Road Junction,Indian Railways,Indian Railways,20.943217,86.132137
304,Jakhanian,Indian Railways,Indian Railways,25.740871,83.369759
305,Jalal Khali,Indian Railways,Indian Railways,23.347148,88.514017
306,Jalgaon Junction,Indian Railways,Indian Railways,21.018267,75.562892
307,Jamai Osmania,Indian Railways,Indian Railways,17.411603,78.518296
308,Jamalpur Junction,Indian Railways,Indian Railways,25.315373,86.493275
309,James Street,Indian Railways,Indian Railways,17.432883,78.486824
310,Jammu Tawi,Indian Railways,Indian Railways,32.705922,74.880181
311,Janghai Junction,Indian Railways,Indian Railways,25.550666,82.309507
312,Jannagatta,Indian Railways,Indian Railways,13.213684,78.136694
313,Jasidih Junction,Indian Railways,Indian Railways,24.514989,86.644114
314,Jatwara,Indian Railways,Indian Railways,26.869368,76.217201
315,Jaunpur Junction,Indian Railways,Indian Railways,25.762298,82.699397
316,Jehanabad,Indian Railways,Indian Railways,25.224477,84.989911
317,Jhareda,Indian Railways,Indian Railways,27.474982,77.035331
318,Jharsuguda Junction,Indian Railways,Indian Railways,21.862352,84.017922
319,Jhir,Indian Railways,Indian Railways,26.852483,76.115542
320,Jiaganj,Indian Railways,Indian Railways,24.244263,88.277053
321,Jite,Indian Railways,Indian Railways,18.820075,73.086694
322,Jogeshwari (Harbour Line),Indian Railways,Indian Railways,19.141154,72.849421
323,Jogeshwari (Western Line),Indian Railways,Indian Railways,19.136120,72.848853
324,Juichandra,Indian Railways,Indian Railways,19.360488,72.872129
325,Juinagar,Indian Railways,Indian Railways,19.055894,73.018374
326,Kabaka Puttur,Indian Railways,Indian Railways,12.768754,75.204952
327,Kacheguda,Indian Railways,Indian Railways,17.390249,78.500457
328,Kalaburagi Junction,Indian Railways,Indian Railways,17.314670,76.825125
329,Kalamboli,Indian Railways,Indian Railways,19.035263,73.114533
330,Kalinarayanpur Junction,Indian Railways,Indian Railways,23.208055,88.573187
331,Kalka,Indian Railways,Indian Railways,30.839229,76.931565
332,Kalva,Indian Railways,Indian Railways,19.195353,72.996778
333,Kalyan Junction,Indian Railways,Indian Railways,19.235294,73.130725
334,Kalyani Main,Indian Railways,Indian Railways,22.969159,88.467418
335,Kaman Road,Indian Railways,Indian Railways,19.336444,72.918905
336,Kamshet,Indian Railways,Indian Railways,18.766936,73.552432
337,Kanauta,Indian Railways,Indian Railways,26.841989,75.955433
338,Kandivali,Indian Railways,Indian Railways,19.204240,72.851858
339,Kanhangad,Indian Railways,Indian Railways,12.320099,75.084744
340,Kanhe,Indian Railways,Indian Railways,18.762096,73.594046
341,Kanjur Marg,Indian Railways,Indian Railways,19.128618,72.928158
342,Kannur,Indian Railways,Indian Railways,11.872299,75.367357
343,Kanpur Central,Indian Railways,Indian Railways,26.454408,80.351192
344,Kapsethi,Indian Railways,Indian Railways,25.357622,82.718184
345,Kareli,Indian Railways,Indian Railways,22.931954,79.066363
346,Karjat,Indian Railways,Indian Railways,18.911710,73.320748
347,Karunagapalli,Indian Railways,Indian Railways,9.065248,76.544756
348,Karur Junction,Indian Railways,Indian Railways,10.965869,78.086222
349,Karwar,Indian Railways,Indian Railways,14.820515,74.182741
350,Kasara,Indian Railways,Indian Railways,19.648201,73.473335
351,Kasaragod,Indian Railways,Indian Railways,12.491795,74.987425
352,Kasarwadi,Indian Railways,Indian Railways,18.607794,73.820939
353,Kasturiba Nagar,Indian Railways,Indian Railways,13.005340,80.247756
354,Kasu,Indian Railways,Indian Railways,18.641373,73.079542
355,Katalpur Halt,Indian Railways,Indian Railways,26.229746,84.773014
356,Kathua,Indian Railways,Indian Railways,32.398276,75.550915
357,Katni Junction,Indian Railways,Indian Railways,23.833656,80.401030
358,Kayamkulam Junction,Indian Railways,Indian Railways,9.183503,76.513080
359,Kazipet Junction,Indian Railways,Indian Railways,17.974485,79.511392
360,Kelavli,Indian Railways,Indian Railways,18.845283,73.318793
361,Kempegowda International Airport Halt,Indian Railways,Indian Railways,13.210670,77.676053
362,Khadavli,Indian Railways,Indian Railways,19.356913,73.219368
363,Khadki,Indian Railways,Indian Railways,18.564065,73.840293
364,Khairah,Indian Railways,Indian Railways,25.861449,84.760667
365,Khairatabad,Indian Railways,Indian Railways,17.414356,78.461039
366,Khandala,Indian Railways,Indian Railways,18.754689,73.377375
367,Khandeshwar,Indian Railways,Indian Railways,19.007355,73.095239
368,Khandwa Junction,Indian Railways,Indian Railways,21.823221,76.353685
369,Khar Road,Indian Railways,Indian Railways,19.069072,72.840037
370,Kharbhav,Indian Railways,Indian Railways,19.298223,72.984061
371,Khardi,Indian Railways,Indian Railways,19.580416,73.394058
372,Kharghar,Indian Railways,Indian Railways,19.025937,73.059238
373,Kharkopar,Indian Railways,Indian Railways,18.959942,73.014164
374,Khatauli,Indian Railways,Indian Railways,29.273886,77.737157
375,Khatipura,Indian Railways,Indian Railways,26.835975,75.891126
376,Khirkiya,Indian Railways,Indian Railways,22.165909,76.859044
377,Khopoli,Indian Railways,Indian Railways,18.788903,73.345449
378,King's Circle,Indian Railways,Indian Railways,19.032063,72.857449
379,Kodambakkam,Indian Railways,Indian Railways,13.051292,80.230644
380,Koderma Junction,Indian Railways,Indian Railways,24.434560,85.529027
381,Kolar,Indian Railways,Indian Railways,13.123860,78.132754
382,Kolkata Chitpur,Indian Railways,Indian Railways,22.601249,88.384191
383,Kollam Junction,Indian Railways,Indian Railways,8.886224,76.595531
384,Kolvagram,Indian Railways,Indian Railways,26.989781,76.469176
385,Kopar,Indian Railways,Indian Railways,19.212196,73.077789
386,Koparkhairne,Indian Railways,Indian Railways,19.103285,73.011297
387,Korattur,Indian Railways,Indian Railways,13.113274,80.183919
388,Kota Junction,Indian Railways,Indian Railways,25.224357,75.881143
389,Kotturpuram,Indian Railways,Indian Railways,13.013704,80.248331
390,Kozhikode,Indian Railways,Indian Railways,11.245535,75.780961
391,Krishnanagar City Junction,Indian Railways,Indian Railways,23.388490,88.493658
392,Krishnarajapuram,Indian Railways,Indian Railways,13.000799,77.675553
393,Kudal,Indian Railways,Indian Railways,16.017240,73.677828
394,Kunigal,Indian Railways,Indian Railways,13.016415,77.011165
395,Kurduvadi Junction,Indian Railways,Indian Railways,18.091858,75.417940
396,Kurla,Indian Railways,Indian Railways,19.065024,72.879136
397,Kurnool City,Indian Railways,Indian Railways,15.833198,78.032533
398,Kurukshetra Junction,Indian Railways,Indian Railways,29.969859,76.851711
399,Kuttippuram,Indian Railways,Indian Railways,10.845746,76.033791
400,Lakdi-ka-pul,Indian Railways,Indian Railways,17.404759,78.462716
401,Lalaguda Gate,Indian Railways,Indian Railways,17.440901,78.524918
402,Lalgola,Indian Railways,Indian Railways,24.421362,88.258008
403,Lalitpur Junction,Indian Railways,Indian Railways,24.688571,78.395617
404,Lar Road,Indian Railways,Indian Railways,26.213720,83.910233
405,Lasalgaon,Indian Railways,Indian Railways,20.155096,74.226139
406,Light House,Indian Railways,Indian Railways,13.045086,80.276775
407,Lingampalli,Indian Railways,Indian Railways,17.482780,78.316645
408,Lodhi Colony,Indian Railways,Indian Railways,28.579649,77.216795
409,Lohardaga,Indian Railways,Indian Railways,23.446701,84.706666
410,Lokmanya Tilak Terminus,Indian Railways,Indian Railways,19.068354,72.889917
411,Lonavala,Indian Railways,Indian Railways,18.748931,73.408839
412,Lottegollahalli,Indian Railways,Indian Railways,13.043525,77.563049
413,Lower Parel,Indian Railways,Indian Railways,18.995525,72.830082
414,Lowjee,Indian Railways,Indian Railways,18.809145,73.335267
