from,to,line,seconds
25,623,Central Line: Kasara → Mumbai CSMT (Fast),220.3
25,694,Central Line: Mumbai CSMT → Kasara (Fast),324.1
26,231,Kamrup Express,4659.3
27,46,Train Sonpur Junction Chhapra Junction DEMU 75269: Sonpur Junction → Chhapra Junction,140.3
27,208,Train Chhapra Junction Sonpur Junction DEMU 75270: Chhapra Junction → Sonpur,255.2
28,110,Hyderabad MMTS: Ghatkesar → Lingampalli,167.4
28,128,Hyderabad MMTS: Lingampalli → Medchal,94.9
28,128,Hyderabad MMTS: Secunderabad → Medchal,94.9
28,128,Hyderabad MMTS: Hyderabad → Medchal,94.9
28,501,Hyderabad MMTS: Lingampalli → Ghatkesar,131.0
28,571,Hyderabad MMTS: Medchal → Secunderabad,79.1
28,571,Hyderabad MMTS: Medchal → Hyderabad,79.1
28,571,Hyderabad MMTS: Medchal → Lingampalli,79.1
29,241,Double Decker Express 12584: Anand Vihar → Lucknow,794.8
29,343,Train Rajdhani Express 20502: Anand Vihar Terminal → Agartala,27781.1
30,266,Train Vande Bharat Express 22232: SMVT Bengaluru → Kalaburagi,4284.0
30,397,Train Vande Bharat Express 20704: Yesvantpur → Kacheguda,9776.1
31,130,Train Rajdhani Express 20818: New Delhi → Bhubaneswar (via Sambalpur City),9409.1
31,503,Train Rajdhani Express 20817: Bhubaneswar → New Delhi (via Sambalpur City),4321.3
32,64,Western Line (fast): Virar => Churchgate,518.2
32,119,Western Line (fast): Churchgate => Virar,874.7
32,322,Harbour Line: Mumbai CSMT → Goregaon,175.9
32,323,Western Line (slow): Churchgate => Virar,135.4
32,733,Harbour Line: Goregaon → Mumbai CSMT,155.9
32,733,Western Line (Slow): Virar => Churchgate,155.9
33,288,Train MEMU 66585: Yesvantpur → Hosur,877.9
34,203,Train Rajdhani Express 20818: New Delhi → Bhubaneswar (via Sambalpur City),3936.2
34,601,Train Rajdhani Express 20817: Bhubaneswar → New Delhi (via Sambalpur City),9533.7
35,44,Chennai Central - Thiruvallur suburban line,200.5
36,321,Diva -> Roha MEMU,611.4
38,63,Passenger 51974: Jaipur → Mathura,416.6
38,384,Passenger 51973: Mathura → Jaipur,386.6
39,307,Hyderabad MMTS: Secunderabad → Falaknuma,58.5
39,307,Hyderabad MMTS: Ramchandrapuram → Falaknuma,58.5
39,307,Hyderabad MMTS: Lingampalli → Falaknuma,58.5
39,307,Hyderabad MMTS: Lingampalli → Umdanagar,58.5
39,644,Hyderabad MMTS: Umdanagar → Lingampalli,74.0
39,644,Hyderabad MMTS: Falaknuma → Secunderabad,74.0
39,644,Hyderabad MMTS: Falaknuma → Ramachandrapuram,74.0
39,644,Hyderabad MMTS: Falaknuma → Hyderabad,74.0
39,644,Hyderabad MMTS: Falaknuma → Lingampalli,74.0
40,42,Central Line: Mumbai CSMT → Kasara (Fast),531.6
40,723,Central Line: Kasara → Mumbai CSMT (Fast),404.0
41,198,Train Rajdhani Express 12301: Howrah → New Delhi (via Gaya),4078.2
41,198,Shabd Bhedi Superfast Express: => Ghazipur,4078.2
41,289,Train Rajdhani Express 12302: New Delhi → Howrah (via Gaya),13399.3
42,40,Central Line: Kasara → Mumbai CSMT (Fast),532.7
42,676,Central Line: Mumbai CSMT → Kasara (Fast),415.5
43,592,Train Express 15017: Mumbai LTT → Gorakhpur,1349.7
43,718,Train Express 15018: Gorakhpur → Mumbai LTT,2096.3
44,285,Chennai Central - Thiruvallur suburban line,211.0
45,726,Train MEMU 66591: KSR Bengaluru → Kolar,221.4
46,27,Train Chhapra Junction Sonpur Junction DEMU 75270: Chhapra Junction → Sonpur,140.3
46,521,Train Sonpur Junction Chhapra Junction DEMU 75269: Sonpur Junction → Chhapra Junction,148.5
48,9,Gonda - Varanasi Intercity Express,3757.3
48,443,Varanasi - Gonda Intercity Express,2011.1
49,394,Daily Express 16512: Kannur → KSR Bengaluru,2201.1
50,570,Hyderabad MMTS: Falaknuma → Ramachandrapuram,60.2
50,669,Hyderabad MMTS: Ramchandrapuram → Falaknuma,219.6
51,269,Train Rajdhani Express 20501: Agartala → Anand Vihar Terminal,12034.1
51,506,Train Rajdhani Express 20502: Anand Vihar Terminal → Agartala,1188.9
52,22,Central Line: Khopoli → Mumbai CSMT (Fast),537.6
52,716,Central Line: Mumbai CSMT → Khopoli (Fast),745.0
53,248,Train Patliputra Lucknow Junction Express 15033: Patliputra → Lucknow Junction,7589.0
54,91,Ranaghat Jn-Lalgola Passenger (UnReserved),1497.6
54,91,Sealdah - Lalgola MEMU Passenger,1497.6
54,330,Lalgola - Sealdah MEMU Passenger,2012.7
55,533,Train Passenger 55110 Chhapra Kacheri → Thawe Junction,184.9
56,135,Train MEMU 66591: KSR Bengaluru → Kolar,188.1
57,95,Train Rajdhani Express 22824: New Delhi → Bhubaneswar (via Tatanagar),4452.8
57,95,Train Rajdhani Express 22812: New Delhi → Bhubaneswar (via Adra),4452.8
57,284,Train Rajdhani Express 22811: Bhubaneswar → New Delhi (via Adra),7188.4
57,284,Train Rajdhani Express 22823: Bhubaneswar → New Delhi (via Tatanagar),7188.4
58,482,Train Rajdhani Express 22691: Bengaluru → Hazrat Nizamuddin,10602.9
58,482,Train Duronto Express 12285: Secunderabad → Hazrat Nizamuddin,10602.9
59,125,Nerul–Uran line: Uran → CBD Belapur,366.8
59,373,Nerul–Uran line (Nerul -> Uran),144.3
59,373,Nerul–Uran line: CBD Belapur → Uran,144.3
59,616,Nerul–Uran line (Uran->Nerul),374.0
60,182,Train 33357: Barasat Junction => Dattapukur,277.4
61,297,Train Express 15017: Mumbai LTT → Gorakhpur,2377.5
61,685,Train Express 15018: Gorakhpur → Mumbai LTT,2003.3
62,87,Train MEMU 66585: Yesvantpur → Hosur,818.5
63,38,Passenger 51973: Mathura → Jaipur,416.5
63,263,Passenger 51974: Jaipur → Mathura,500.1
64,32,Western Line (fast): Churchgate => Virar,518.6
64,171,Western Line (fast): Virar => Churchgate,287.6
64,369,Harbour Line: Mumbai CSMT → Goregaon,114.7
64,369,Western Line (slow): Churchgate => Virar,115.4
64,425,Harbour Line: Goregaon → Mumbai CSMT,121.0
64,425,Western Line (Slow): Virar => Churchgate,121.2
66,56,Train MEMU 66591: KSR Bengaluru → Kolar,413.0
66,288,Train Vande Bharat Express 20641: Bengaluru Cantonment → Coimbatore,2790.9
66,392,Train Vande Bharat Express 20672: Bengaluru Cantonment → Madurai,575.3
67,66,Train MEMU 66591: KSR Bengaluru → Kolar,268.6
67,392,Train Vande Bharat Express 26651: KSR Bengaluru → Ernakulam Junction,856.0
67,478,Chennai - Mysuru Shatabdi Express,8937.0
67,557,Mysuru - Chennai Shatabdi Express,21118.1
67,651,Train Rajdhani Express 22691: Bengaluru → Hazrat Nizamuddin,9581.1
67,746,Train Vande Bharat Express 20661: KSR Bengaluru → Dharwad,387.0
67,746,Train Vande Bharat Express 26752: KSR Bengaluru → Belagavi,387.0
68,2,Train Rajdhani Express 22811: Bhubaneswar → New Delhi (via Adra),3659.5
68,284,Train Rajdhani Express 22812: New Delhi → Bhubaneswar (via Adra),7452.8
69,55,Train Passenger 55110 Chhapra Kacheri → Thawe Junction,92.5
70,314,Passenger 51974: Jaipur → Mathura,360.9
70,319,Passenger 51973: Mathura → Jaipur,379.5
71,326,Daily Express 16512: Kannur → KSR Bengaluru,1594.9
72,219,Train Sonpur Junction Chhapra Junction DEMU 75269: Sonpur Junction → Chhapra Junction,294.8
72,521,Train Chhapra Junction Sonpur Junction DEMU 75270: Chhapra Junction → Sonpur,203.1
73,20,Train Express 14521: Delhi → Ambala Cantonment,1766.3
73,300,Train Express 14522: Ambala Cantonment → Delhi,1534.2
74,60,Train 33357: Barasat Junction => Dattapukur,271.1
75,221,Shabd Bhedi Superfast Express: => Ghazipur,4501.5
75,289,Train Rajdhani Express 12306: New Delhi → Howrah (via Patna),6366.0
75,420,Train Rajdhani Express 12305: Howrah → New Delhi (via Patna),12147.4
76,416,Double Decker Express 12584: Anand Vihar → Lucknow,16123.4
76,466,Double Decker Express 12583: Lucknow → Anand Vihar,6004.2
76,573,Lucknow Mail: Lucknow Junction -> New Delhi,4450.7
76,624,Lucknow Mail: New Delhi -> Lucknow Junction,4983.5
77,505,Train Rajdhani Express 20501: Agartala → Anand Vihar Terminal,18089.8
77,576,Train Rajdhani Express 20502: Anand Vihar Terminal → Agartala,4627.6
78,382,Hazarduari Express: Lalgola => Krishnanagar,1276.8
78,486,Sealdah - Lalgola MEMU Passenger,1070.1
78,574,Hazarduari Express: Krishnanagar => Lalgola,3622.4
78,615,Lalgola - Sealdah MEMU Passenger,1538.8
79,738,Chennai Central - Thiruvallur suburban line,113.5
80,319,Passenger 51974: Jaipur → Mathura,491.0
80,337,Passenger 51973: Mathura → Jaipur,660.2
81,263,Passenger 51973: Mathura → Jaipur,392.8
81,658,Passenger 51974: Jaipur → Mathura,418.7
83,121,Passenger 51973: Mathura → Jaipur,852.7
83,187,Passenger 51974: Jaipur → Mathura,861.4
84,190,Pune Suburban Railway: Lonavala → Pune,253.4
84,245,Pune Suburban Railway: Pune → Lonavala,180.4
85,293,Train SuperFast Express 12701: Mumbai CSMT → Hyderabad,369.8
85,495,Hyderabad MMTS: Hyderabad → Lingampalli,72.3
85,495,Hyderabad MMTS: Umdanagar → Lingampalli,72.3
85,495,Hyderabad MMTS: Falaknuma → Ramachandrapuram,72.3
85,495,Hyderabad MMTS: Falaknuma → Lingampalli,72.3
85,495,Hyderabad MMTS: Medchal → Lingampalli,72.3
85,495,Hyderabad MMTS: Secunderabad → Lingampalli,72.3
85,498,Hyderabad MMTS: Lingampalli → Hyderabad,118.3
85,603,Hyderabad MMTS: Ramchandrapuram → Falaknuma,141.9
85,603,Hyderabad MMTS: Lingampalli → Falaknuma,141.9
85,603,Hyderabad MMTS: Lingampalli → Medchal,141.9
85,603,Hyderabad MMTS: Lingampalli → Umdanagar,141.9
85,603,Hyderabad MMTS: Lingampalli → Secunderabad,141.9
85,731,Train SuperFast Express 12702: Hyderabad → Mumbai CSMT,4262.0
87,127,Train MEMU 66585: Yesvantpur → Hosur,248.6
88,90,Bhagirathi Express,1258.0
88,90,Hazarduari Express: Krishnanagar => Lalgola,1257.9
88,90,Kolkata Berhampore Court Dhanya Dhaanya Express,1258.0
88,93,Ranaghat Jn-Lalgola Passenger (UnReserved),429.1
88,93,Sealdah - Lalgola MEMU Passenger,429.1
88,552,Berhampore Court Kolkata Dhanya Dhaanya Express,1279.9
88,552,Hazarduari Express: Lalgola => Krishnanagar,1279.8
88,552,Lalgola - Sealdah MEMU Passenger,1279.9
89,295,Train Express 15018: Gorakhpur → Mumbai LTT,1915.7
89,404,Train Express 15017: Mumbai LTT → Gorakhpur,893.1
90,88,Berhampore Court Kolkata Dhanya Dhaanya Express,1258.0
90,88,Hazarduari Express: Lalgola => Krishnanagar,1257.9
90,93,Lalgola - Sealdah MEMU Passenger,835.8
90,476,Bhagirathi Express,711.3
90,476,Hazarduari Express: Krishnanagar => Lalgola,711.4
90,476,Ranaghat Jn-Lalgola Passenger (UnReserved),711.3
90,476,Sealdah - Lalgola MEMU Passenger,711.3
91,54,Lalgola - Sealdah MEMU Passenger,1497.6
91,186,Bhagirathi Express,836.1
91,186,Ranaghat Jn-Lalgola Passenger (UnReserved),836.1
91,186,Sealdah - Lalgola MEMU Passenger,836.1
91,391,Hazarduari Express: Lalgola => Krishnanagar,1953.8
91,486,Berhampore Court Kolkata Dhanya Dhaanya Express,5798.8
91,552,Hazarduari Express: Krishnanagar => Lalgola,1520.1
91,552,Kolkata Berhampore Court Dhanya Dhaanya Express,1520.1
92,212,Train MEMU 66591: KSR Bengaluru → Kolar,307.8
93,88,Lalgola - Sealdah MEMU Passenger,429.1
93,90,Ranaghat Jn-Lalgola Passenger (UnReserved),835.8
93,90,Sealdah - Lalgola MEMU Passenger,835.8
94,464,Train Express 15018: Gorakhpur → Mumbai LTT,578.7
94,532,Train Express 15017: Mumbai LTT → Gorakhpur,601.2
95,57,Train Rajdhani Express 22811: Bhubaneswar → New Delhi (via Adra),4453.0
95,57,Train Rajdhani Express 22823: Bhubaneswar → New Delhi (via Tatanagar),4453.0
95,168,Train Rajdhani Express 22824: New Delhi → Bhubaneswar (via Tatanagar),6798.9
95,303,Train Rajdhani Express 22812: New Delhi → Bhubaneswar (via Adra),3102.3
96,308,Train Rajdhani Express 20501: Agartala → Anand Vihar Terminal,3518.1
96,433,Train Rajdhani Express 20502: Anand Vihar Terminal → Agartala,8577.1
97,320,Hazarduari Express: Lalgola => Krishnanagar,759.5
97,320,Lalgola - Sealdah MEMU Passenger,759.1
97,402,Hazarduari Express: Krishnanagar => Lalgola,779.2
97,402,Ranaghat Jn-Lalgola Passenger (UnReserved),779.2
97,402,Sealdah - Lalgola MEMU Passenger,779.2
98,183,Passenger 51973: Mathura → Jaipur,747.7
98,384,Passenger 51974: Jaipur → Mathura,481.0
99,341,Central Line: Kalyan Junction → Mumbai CSMT (Slow),136.3
99,484,Central Line: Mumbai CSMT → Kalyan Junction (Slow),114.4
100,118,Hyderabad MMTS: Hyderabad → Lingampalli,160.5
100,118,Hyderabad MMTS: Umdanagar → Lingampalli,160.5
100,118,Hyderabad MMTS: Falaknuma → Ramachandrapuram,160.5
100,118,Hyderabad MMTS: Falaknuma → Lingampalli,160.5
100,118,Hyderabad MMTS: Medchal → Lingampalli,160.5
100,118,Hyderabad MMTS: Secunderabad → Lingampalli,160.5
100,118,Hyderabad MMTS: Ghatkesar → Lingampalli,160.5
100,228,Hyderabad MMTS: Lingampalli → Hyderabad,168.3
100,228,Hyderabad MMTS: Ramchandrapuram → Falaknuma,168.3
100,228,Hyderabad MMTS: Lingampalli → Falaknuma,168.3
100,228,Hyderabad MMTS: Lingampalli → Medchal,168.3
100,228,Hyderabad MMTS: Lingampalli → Umdanagar,168.3
100,228,Hyderabad MMTS: Lingampalli → Secunderabad,168.3
100,229,Hyderabad MMTS: Lingampalli → Ghatkesar,242.3
101,241,Train 12903 Golden Temple Mail: Bandra Terminus → Amritsar,11340.4
102,656,Train Rajdhani Express 12954: Hazrat Nizamuddin → Mumbai Central,4157.2
102,713,Train Rajdhani Express 12953: Mumbai Central → Hazrat Nizamuddin,5034.2
103,195,Train Express 15017: Mumbai LTT → Gorakhpur,1483.9
103,600,Train Express 15018: Gorakhpur → Mumbai LTT,671.2
104,462,Western Line (fast): Virar => Churchgate,239.6
104,462,Western Line (Slow): Virar => Churchgate,239.7
104,485,Western Line (fast): Churchgate => Virar,332.4
104,485,Western Line (slow): Churchgate => Virar,331.6
105,370,Vasai Road-Diva Line (main): Diva =>Vasai Road,525.9
105,385,Vasai Road-Diva Line (main): Vasai Road => Diva,503.6
106,346,Central Line: Mumbai CSMT → Khopoli (Fast),477.8
106,500,Central Line: Khopoli → Mumbai CSMT (Fast),463.9
107,640,Kamrup Express,2290.5
108,114,Shatabdi Express 12001: Rani Kamlapati → New Delhi,9175.9
108,297,Train Rajdhani Express 22692: Hazrat Nizamuddin → Bengaluru,5887.2
108,306,Train Rajdhani Express 22222: Hazrat Nizamuddin → Mumbai CSMT,22627.8
108,482,Train Rajdhani Express 12442: New Delhi → Bilaspur,20985.6
108,577,Shatabdi Express 12002: New Delhi → Rani Kamlapati,423.2
108,735,Train Rajdhani Express 22221: Mumbai CSMT → Hazrat Nizamuddin,19291.0
108,735,Train Rajdhani Express 22691: Bengaluru → Hazrat Nizamuddin,19291.0
108,735,Train Rajdhani Express 12441: Bilaspur → New Delhi,19291.0
109,168,Train Rajdhani Express 22811: Bhubaneswar → New Delhi (via Adra),1654.9
109,168,Train Rajdhani Express 22823: Bhubaneswar → New Delhi (via Tatanagar),1654.9
109,168,Train Rajdhani Express 20817: Bhubaneswar → New Delhi (via Sambalpur City),1654.9
110,28,Hyderabad MMTS: Lingampalli → Ghatkesar,167.7
110,654,Hyderabad MMTS: Ghatkesar → Lingampalli,224.9
111,306,Train Express 15018: Gorakhpur → Mumbai LTT,1692.7
111,306,Howrah-Mumbai Mail,1692.6
111,583,Train Express 15017: Mumbai LTT → Gorakhpur,2375.2
112,454,Passenger 51974: Jaipur → Mathura,157.9
112,465,Passenger 51973: Mathura → Jaipur,611.2
113,564,Train Rajdhani Express 12441: Bilaspur → New Delhi,7551.7
114,108,Shatabdi Express 12002: New Delhi → Rani Kamlapati,9175.2
114,403,Shatabdi Express 12001: Rani Kamlapati → New Delhi,4406.9
115,380,Train Rajdhani Express 20839: Ranchi → New Delhi (via Bokaro Steel City),7420.7
115,475,Train Rajdhani Express 22824: New Delhi → Bhubaneswar (via Tatanagar),2748.5
115,503,Train Rajdhani Express 22823: Bhubaneswar → New Delhi (via Tatanagar),1783.1
115,575,Train Rajdhani Express 20840: New Delhi → Ranchi (via Bokaro Steel City),6018.6
116,117,Hyderabad MMTS: Medchal → Secunderabad,125.0
116,117,Hyderabad MMTS: Medchal → Hyderabad,125.0
116,117,Hyderabad MMTS: Medchal → Lingampalli,125.0
116,264,Hyderabad MMTS: Lingampalli → Medchal,351.2
116,264,Hyderabad MMTS: Secunderabad → Medchal,351.2
116,264,Hyderabad MMTS: Hyderabad → Medchal,351.2
117,16,Hyderabad MMTS: Medchal → Secunderabad,100.8
117,16,Hyderabad MMTS: Medchal → Hyderabad,100.8
117,16,Hyderabad MMTS: Medchal → Lingampalli,100.8
117,116,Hyderabad MMTS: Lingampalli → Medchal,125.2
117,116,Hyderabad MMTS: Secunderabad → Medchal,125.2
117,116,Hyderabad MMTS: Hyderabad → Medchal,125.2
118,100,Hyderabad MMTS: Lingampalli → Hyderabad,160.5
118,100,Hyderabad MMTS: Ramchandrapuram → Falaknuma,160.5
118,100,Hyderabad MMTS: Lingampalli → Falaknuma,160.5
118,100,Hyderabad MMTS: Lingampalli → Medchal,160.5
118,100,Hyderabad MMTS: Lingampalli → Umdanagar,160.5
118,100,Hyderabad MMTS: Lingampalli → Secunderabad,160.5
118,100,Hyderabad MMTS: Lingampalli → Ghatkesar,160.5
118,286,Hyderabad MMTS: Hyderabad → Lingampalli,192.4
118,286,Hyderabad MMTS: Umdanagar → Lingampalli,192.4
118,286,Hyderabad MMTS: Falaknuma → Ramachandrapuram,192.4
118,286,Hyderabad MMTS: Falaknuma → Lingampalli,192.4
118,286,Hyderabad MMTS: Medchal → Lingampalli,192.4
118,286,Hyderabad MMTS: Secunderabad → Lingampalli,192.4
118,286,Hyderabad MMTS: Ghatkesar → Lingampalli,192.4
119,32,Western Line (fast): Virar => Churchgate,874.6
119,65,12908 Maharashtra Sampark Kranti Superfast Express,1346.7
119,175,Western Line (fast): Churchgate => Virar,170.0
119,175,Western Line (slow): Churchgate => Virar,169.7
119,338,Western Line (Slow): Virar => Churchgate,195.4
119,471,Train Rajdhani Express 12952: New Delhi → Mumbai Central,2084.3
119,471,Train Rajdhani Express 12954: Hazrat Nizamuddin → Mumbai Central,2084.4
119,656,Train Rajdhani Express 12951: Mumbai Central → New Delhi,15815.4
119,656,Train 12903 Golden Temple Mail: Bandra Terminus → Amritsar,15815.4
119,656,12907 Maharashtra Sampark Kranti Superfast Express,15815.4
119,717,Train Rajdhani Express 12953: Mumbai Central → Hazrat Nizamuddin,9163.8
120,635,Train Passenger 55110 Chhapra Kacheri → Thawe Junction,254.6
121,83,Passenger 51974: Jaipur → Mathura,852.7
121,317,Passenger 51973: Mathura → Jaipur,480.6
122,479,Hyderabad MMTS: Umdanagar → Lingampalli,138.9
122,704,Hyderabad MMTS: Lingampalli → Umdanagar,445.9
123,499,Train Express 15017: Mumbai LTT → Gorakhpur,1782.8
123,583,Train Express 15018: Gorakhpur → Mumbai LTT,1478.2
124,156,Central Line: Mumbai CSMT → Kalyan Junction (Slow),86.8
124,172,Central Line: Mumbai CSMT → Kalyan Junction (Fast),334.5
124,172,Central Line: Mumbai CSMT → Kasara (Fast),334.5
124,172,Central Line: Mumbai CSMT → Khopoli (Fast),334.5
124,470,Central Line: Kalyan Junction → Mumbai CSMT (Fast),287.9
124,470,Central Line: Khopoli → Mumbai CSMT (Fast),287.9
124,470,Central Line: Kasara → Mumbai CSMT (Fast),287.9
124,602,Central Line: Kalyan Junction → Mumbai CSMT (Slow),128.2
125,59,Nerul–Uran line: CBD Belapur → Uran,367.1
125,372,Harbour Line: Mumbai CSMT → Panvel,162.3
125,372,Trans-Harbour Line: Thane => Panvel,162.3
125,616,Harbour Line: Panvel → Mumbai CSMT,152.8
125,616,Trans-Harbour Line: Panvel => Thane,152.8
126,333,Train Rajdhani Express 22221: Mumbai CSMT → Hazrat Nizamuddin,3204.5
127,283,Train MEMU 66585: Yesvantpur → Hosur,754.6
128,16,Hyderabad MMTS: Lingampalli → Medchal,86.6
128,16,Hyderabad MMTS: Secunderabad → Medchal,86.6
128,16,Hyderabad MMTS: Hyderabad → Medchal,86.6
128,28,Hyderabad MMTS: Medchal → Secunderabad,94.8
128,28,Hyderabad MMTS: Medchal → Hyderabad,94.8
128,28,Hyderabad MMTS: Medchal → Lingampalli,94.8
129,330,Sealdah - Lalgola MEMU Passenger,1082.7
129,334,Lalgola - Sealdah MEMU Passenger,989.5
130,31,Train Rajdhani Express 20817: Bhubaneswar → New Delhi (via Sambalpur City),9409.0
130,318,Howrah-Mumbai Mail,13585.5
130,588,Train Rajdhani Express 20818: New Delhi → Bhubaneswar (via Sambalpur City),6708.5
131,445,Howrah-Mumbai Mail,4539.0
131,491,Train Express 15018: Gorakhpur → Mumbai LTT,2826.6
131,514,Train Express 15017: Mumbai LTT → Gorakhpur,3095.1
132,271,Hyderabad MMTS: Lingampalli → Hyderabad,229.5
132,271,Hyderabad MMTS: Ramchandrapuram → Falaknuma,229.5
132,271,Hyderabad MMTS: Lingampalli → Falaknuma,229.5
132,271,Hyderabad MMTS: Lingampalli → Medchal,229.5
132,271,Hyderabad MMTS: Lingampalli → Umdanagar,229.5
132,271,Hyderabad MMTS: Lingampalli → Secunderabad,229.5
132,271,Hyderabad MMTS: Lingampalli → Ghatkesar,229.5
132,407,Hyderabad MMTS: Hyderabad → Lingampalli,133.3
132,407,Hyderabad MMTS: Umdanagar → Lingampalli,133.3
132,407,Hyderabad MMTS: Falaknuma → Ramachandrapuram,133.3
132,407,Hyderabad MMTS: Falaknuma → Lingampalli,133.3
132,407,Hyderabad MMTS: Medchal → Lingampalli,133.3
132,407,Hyderabad MMTS: Secunderabad → Lingampalli,133.3
132,407,Hyderabad MMTS: Ghatkesar → Lingampalli,133.3
133,20,Kalka Shatabdi Express: Kalka -> New Delhi,2911.7
133,331,Kalka Shatabdi Express: New Delhi -> Kalka,1332.3
134,633,Daily Express 16512: Kannur → KSR Bengaluru,585.0
135,745,Train MEMU 66591: KSR Bengaluru → Kolar,922.7
136,239,Hyderabad MMTS: Lingampalli → Ghatkesar,553.1
136,501,Hyderabad MMTS: Ghatkesar → Lingampalli,554.5
137,258,Western Line (fast): Churchgate => Virar,87.5
137,258,Western Line (slow): Churchgate => Virar,84.2
