u,v,w
139,126,77.880571
3,95,56.053903
95,3,56.053903
55,68,58.799822
68,55,58.799822
51,41,45.155227
41,51,45.155227
146,80,43.480749
80,146,43.480749
111,193,92.146196
193,111,92.146196
154,96,21.318831
96,154,21.318831
133,5,48.364824
5,133,48.364824
55,5,48.373232
5,55,48.373232
101,128,56.443450
128,101,56.443450
36,28,32.480687
28,36,32.480687
67,123,77.051321
123,67,77.051321
72,71,72.527552
71,72,72.527552
79,120,105.250540
120,79,105.250540
144,73,52.671551
73,144,52.671551
28,103,84.591558
103,28,84.591558
172,124,67.521324
124,172,67.521324
96,87,59.159714
87,96,59.159714
35,7,71.539692
7,35,71.539692
170,149,57.363661
149,170,57.363661
128,70,69.169980
70,128,69.169980
171,74,59.648259
74,171,59.648259
116,29,23.031565
29,116,23.031565
192,54,45.529623
54,192,45.529623
62,156,19.507625
156,62,19.507625
52,56,32.919635
56,52,32.919635
9,192,35.453229
192,9,35.453229
60,107,25.277828
107,60,25.277828
30,183,42.320243
183,30,42.320243
77,188,89.256048
188,77,89.256048
125,8,159.746055
8,125,159.746055
58,25,28.210642
25,58,28.210642
165,199,27.022553
199,165,27.022553
20,121,17.350517
121,20,17.350517
11,139,101.697302
139,11,101.697302
20,172,54.014416
172,20,54.014416
158,37,94.233256
37,158,94.233256
163,188,56.113102
188,163,56.113102
27,5,28.880864
5,27,28.880864
121,160,63.817537
160,121,63.817537
53,42,11.828027
42,53,11.828027
64,167,72.319305
167,64,72.319305
199,167,66.450194
167,199,66.450194
32,9,49.990617
9,32,49.990617
184,139,74.230826
139,184,74.230826
155,108,28.628797
108,155,28.628797
129,50,69.078644
50,129,69.078644
155,63,66.575763
63,155,66.575763
177,57,45.463480
57,177,45.463480
196,13,77.770971
13,196,77.770971
75,62,19.257316
62,75,19.257316
121,131,61.818330
131,121,61.818330
34,195,25.502076
195,34,25.502076
163,174,62.594135
174,163,62.594135
115,126,32.337911
126,115,32.337911
108,157,68.446952
157,108,68.446952
158,95,27.534673
95,158,27.534673
149,173,42.103220
173,149,42.103220
20,12,37.280532
12,20,37.280532
185,187,76.606451
187,185,76.606451
140,29,96.633872
29,140,96.633872
30,136,45.414327
136,30,45.414327
170,92,76.785893
92,170,76.785893
56,37,84.211059
37,56,84.211059
94,173,75.364722
173,94,75.364722
118,59,68.267346
59,118,68.267346
52,190,93.140468
190,52,93.140468
22,183,109.256599
183,22,109.256599
33,4,49.980607
4,33,49.980607
64,18,47.263300
18,64,47.263300
142,160,40.486412
160,142,40.486412
57,152,107.171150
152,57,107.171150
90,27,78.435184
27,90,78.435184
178,43,10.853375
43,178,10.853375
179,80,61.885151
80,179,61.885151
174,113,72.144586
113,174,72.144586
56,91,82.445824
91,56,82.445824
34,123,83.783348
123,34,83.783348
96,0,72.960861
0,96,72.960861
11,170,30.547890
170,11,30.547890
27,159,22.135074
159,27,22.135074
68,35,75.600188
35,68,75.600188
67,195,11.155224
195,67,11.155224
51,172,109.525028
172,51,109.525028
51,8,16.187261
8,51,16.187261
36,68,98.224120
68,36,98.224120
107,100,51.887803
100,107,51.887803
164,90,98.682023
90,164,98.682023
32,136,124.190621
136,32,124.190621
83,14,38.024553
14,83,38.024553
101,71,113.025061
71,101,113.025061
84,92,95.824173
92,84,95.824173
158,59,70.670324
59,158,70.670324
46,169,11.307518
169,46,11.307518
21,29,47.990860
29,21,47.990860
197,17,18.676929
17,197,18.676929
67,22,59.965933
22,67,59.965933
138,197,68.944811
197,138,68.944811
37,111,60.571501
111,37,60.571501
185,45,94.815871
45,185,94.815871
192,174,94.053117
174,192,94.053117
18,127,72.881541
127,18,72.881541
38,87,56.400817
87,38,56.400817
142,56,81.796285
56,142,81.796285
152,16,89.118303
16,152,89.118303
53,140,85.064052
140,53,85.064052
156,111,47.340421
111,156,47.340421
196,190,66.624458
190,196,66.624458
144,118,66.876050
118,144,66.876050
190,193,87.209683
193,190,87.209683
126,40,60.017927
40,126,60.017927
147,22,97.309196
22,147,97.309196
31,196,22.399909
196,31,22.399909
170,58,94.038092
58,170,94.038092
184,56,75.786469
56,184,75.786469
13,73,58.071489
73,13,58.071489
182,95,53.720319
95,182,53.720319
57,169,81.181180
169,57,81.181180
78,110,128.970862
110,78,128.970862
64,36,78.281823
36,64,78.281823
10,175,23.113588
175,10,23.113588
71,65,48.662011
65,71,48.662011
113,25,43.932294
25,113,43.932294
90,146,19.464845
146,90,19.464845
33,117,95.738496
117,33,95.738496
40,184,100.432535
184,40,100.432535
108,190,52.578216
190,108,52.578216
13,55,67.672240
55,13,67.672240
15,111,58.003601
111,15,58.003601
58,35,57.130275
35,58,57.130275
61,126,110.933813
126,61,110.933813
96,127,40.954839
127,96,40.954839
159,190,67.235922
190,159,67.235922
91,72,74.748444
72,91,74.748444
104,87,66.977017
87,104,66.977017
27,28,74.640718
28,27,74.640718
116,174,80.784869
174,116,80.784869
185,121,28.661229
121,185,28.661229
60,19,91.864218
19,60,91.864218
172,141,54.653484
141,172,54.653484
13,37,22.667477
37,13,22.667477
168,155,57.431385
155,168,57.431385
144,46,30.617867
46,144,30.617867
84,12,33.413818
12,84,33.413818
49,11,69.340070
11,49,69.340070
99,34,54.537699
34,99,54.537699
36,65,33.523111
65,36,33.523111
103,17,52.294610
17,103,52.294610
142,56,75.013637
56,142,75.013637
35,81,57.496012
81,35,57.496012
